# hostname;interval;timestamp;pswpin/s;pswpout/s
axle;60;1417491216;0.00;0.00
axle;60;1417491276;0.00;0.00
axle;60;1417491336;0.00;0.00
axle;60;1417491396;0.00;0.00
axle;60;1417491456;0.00;0.00
axle;60;1417491516;0.00;0.00
axle;60;1417491576;0.00;0.00
axle;60;1417491636;0.00;0.00
axle;60;1417491696;0.00;0.00
axle;60;1417491756;0.00;0.00
axle;60;1417491816;0.00;0.00
axle;60;1417491876;0.00;0.00
axle;60;1417491936;0.00;0.00
axle;60;1417491996;0.00;0.00
axle;60;1417492056;0.00;0.00
axle;60;1417492116;0.00;0.00
axle;60;1417492176;0.00;0.00
axle;60;1417492236;0.00;0.00
axle;60;1417492296;0.00;0.00
axle;60;1417492356;0.00;0.00
axle;60;1417492416;0.00;0.00
axle;60;1417492476;0.00;0.00
axle;60;1417492536;0.00;0.00
axle;60;1417492596;0.00;0.00
axle;60;1417492656;0.00;0.00
axle;60;1417492716;0.00;0.00
axle;60;1417492776;0.00;0.00
axle;60;1417492836;0.00;0.00
axle;60;1417492896;0.00;0.00
axle;60;1417492956;0.00;0.00
axle;60;1417493016;0.00;0.00
axle;60;1417493076;0.00;0.00
axle;60;1417493136;0.00;0.00
