# hostname;interval;timestamp;pgpgin/s;pgpgout/s;fault/s;majflt/s;pgfree/s;pgscank/s;pgscand/s;pgsteal/s;%vmeff
axle;60;1417491216;1.81;70.65;66417.76;0.02;245391.10;0.00;0.00;0.00;0.00
axle;60;1417491276;0.00;131.28;18920.02;0.00;105358.28;0.00;0.00;0.00;0.00
axle;60;1417491336;0.00;48.86;5673.54;0.00;59830.35;0.00;0.00;0.00;0.00
axle;60;1417491396;0.00;39.81;7725.33;0.00;68940.73;0.00;0.00;0.00;0.00
axle;60;1417491456;0.00;39.45;5363.98;0.00;29138.13;0.00;0.00;0.00;0.00
axle;60;1417491516;0.00;22.18;4489.44;0.00;25696.54;0.00;0.00;0.00;0.00
axle;60;1417491576;0.00;17.87;4506.93;0.00;25797.32;0.00;0.00;0.00;0.00
axle;60;1417491636;0.00;24.85;4483.40;0.00;25673.12;0.00;0.00;0.00;0.00
axle;60;1417491696;0.00;21.65;4439.89;0.00;25455.83;0.00;0.00;0.00;0.00
axle;60;1417491756;0.00;24.97;4469.60;0.00;25844.97;0.00;0.00;0.00;0.00
axle;60;1417491816;0.00;17.53;4412.46;0.00;25433.09;0.00;0.00;0.00;0.00
axle;60;1417491876;0.00;20.17;4424.42;0.00;25220.27;0.00;0.00;0.00;0.00
axle;60;1417491936;0.00;29.03;4531.50;0.00;25320.96;0.00;0.00;0.00;0.00
axle;60;1417491996;0.00;23.61;4431.88;0.00;25403.17;0.00;0.00;0.00;0.00
axle;60;1417492056;0.00;27.03;4367.85;0.00;25248.31;0.00;0.00;0.00;0.00
axle;60;1417492116;0.00;21.72;2324.04;0.00;69315.99;0.00;0.00;0.00;0.00
axle;60;1417492176;0.00;31.60;10075.55;0.00;49612.96;0.00;0.00;0.00;0.00
axle;60;1417492236;0.00;35.18;217.54;0.00;3831.75;0.00;0.00;0.00;0.00
axle;60;1417492296;0.00;33.79;217.38;0.00;3456.43;0.00;0.00;0.00;0.00
axle;60;1417492356;0.00;28.59;217.54;0.00;4548.43;0.00;0.00;0.00;0.00
axle;60;1417492416;0.00;26.80;595.98;0.00;36803.42;0.00;0.00;0.00;0.00
axle;60;1417492476;0.00;21.67;9777.52;0.00;913.00;0.00;0.00;0.00;0.00
axle;60;1417492536;0.00;38.29;217.78;0.00;1708.36;0.00;0.00;0.00;0.00
axle;60;1417492596;0.00;21.28;217.83;0.00;1775.61;0.00;0.00;0.00;0.00
axle;60;1417492656;0.00;32.83;217.77;0.00;1856.37;0.00;0.00;0.00;0.00
axle;60;1417492716;0.00;23.27;217.79;0.00;1946.92;0.00;0.00;0.00;0.00
axle;60;1417492776;0.00;34.17;314.88;0.00;1915.42;0.00;0.00;0.00;0.00
axle;60;1417492836;0.00;20.34;339.69;0.00;1912.47;0.00;0.00;0.00;0.00
axle;60;1417492896;0.00;33.56;218.08;0.00;2016.63;0.00;0.00;0.00;0.00
axle;60;1417492956;0.00;24.93;218.07;0.00;5506.85;0.00;0.00;0.00;0.00
axle;60;1417493016;0.00;25.51;218.15;0.00;10358.49;0.00;0.00;0.00;0.00
axle;60;1417493076;0.00;97.03;1721.26;0.00;21782.81;0.00;0.00;0.00;0.00
axle;60;1417493136;0.00;92.07;1307.50;0.00;322.65;0.00;0.00;0.00;0.00
