# hostname;interval;timestamp;pswpin/s;pswpout/s
axle;60;1417493253;0.00;0.00
axle;60;1417493313;0.00;0.00
axle;60;1417493373;0.00;0.00
axle;60;1417493433;0.00;0.00
axle;60;1417493493;0.00;0.00
axle;60;1417493553;0.00;0.00
axle;60;1417493613;0.00;0.00
axle;60;1417493673;0.00;0.00
axle;60;1417493733;0.00;0.00
axle;60;1417493793;0.00;0.00
axle;60;1417493853;0.00;0.00
axle;60;1417493913;0.00;0.00
axle;60;1417493973;0.00;0.00
axle;60;1417494033;0.00;0.00
axle;60;1417494093;0.00;0.00
axle;60;1417494153;0.00;0.00
axle;60;1417494213;0.00;0.00
axle;60;1417494273;0.00;0.00
axle;60;1417494333;0.00;0.00
axle;60;1417494393;0.00;0.00
axle;60;1417494453;0.00;0.00
axle;60;1417494513;0.00;0.00
axle;60;1417494573;0.00;0.00
axle;60;1417494633;0.00;0.00
axle;60;1417494693;0.00;0.00
axle;60;1417494753;0.00;0.00
axle;60;1417494813;0.00;0.00
axle;60;1417494873;0.00;0.00
axle;60;1417494933;0.00;0.00
axle;60;1417494993;0.00;0.00
axle;60;1417495053;0.00;0.00
axle;60;1417495113;0.00;0.00
axle;60;1417495173;0.00;0.00
axle;60;1417495233;0.00;0.00
axle;60;1417495293;0.00;0.00
axle;60;1417495353;0.00;0.00
axle;60;1417495413;0.00;0.00
axle;60;1417495473;0.00;0.00
axle;60;1417495533;0.00;0.00
axle;60;1417495593;0.00;0.00
axle;60;1417495653;0.00;0.00
