Linux 3.0.101-0.15-default (axle) 	12/02/2014 	_x86_64_

05:06:33 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
05:07:33 AM     all      6.07      0.00      6.52      0.07      0.00     87.33
05:08:33 AM     all      6.13      0.00      8.35      0.00      0.00     85.52
05:09:33 AM     all      6.10      0.00      5.57      0.01      0.00     88.32
05:10:33 AM     all      3.29      0.00      3.09      0.00      0.00     93.62
05:11:33 AM     all      3.43      0.00      2.90      0.00      0.00     93.67
05:12:33 AM     all      3.41      0.00      2.92      0.00      0.00     93.67
05:13:33 AM     all      3.42      0.00      2.91      0.00      0.00     93.67
05:14:33 AM     all      4.14      0.00      2.18      0.00      0.00     93.67
05:15:33 AM     all      3.92      0.00      2.42      0.00      0.00     93.66
05:16:33 AM     all      4.13      0.00      2.10      0.00      0.00     93.77
05:17:33 AM     all      4.93      0.00      1.43      0.00      0.00     93.64
05:18:33 AM     all      3.19      0.00      3.16      0.00      0.00     93.65
05:19:33 AM     all      3.34      0.00      2.98      0.00      0.00     93.68
05:20:33 AM     all      5.27      0.00      1.04      0.00      0.00     93.68
05:21:33 AM     all      5.68      0.00      0.59      0.00      0.00     93.73
05:22:33 AM     all      5.64      0.00      0.67      0.00      0.00     93.69
05:23:33 AM     all      5.24      0.00      1.18      0.00      0.00     93.58
05:24:33 AM     all      3.78      0.00      2.59      0.00      0.00     93.63
05:25:33 AM     all      4.49      0.00      1.83      0.00      0.00     93.68
05:26:33 AM     all      4.93      0.00      1.34      0.00      0.00     93.72
05:27:33 AM     all      5.40      0.00      0.91      0.00      0.00     93.68
05:28:33 AM     all      5.97      0.00      0.33      0.00      0.00     93.69
05:29:33 AM     all      4.95      0.00      1.34      0.00      0.00     93.71
05:30:33 AM     all      4.84      0.00      1.50      0.00      0.00     93.66
05:31:33 AM     all      4.93      0.00      1.38      0.00      0.00     93.69
05:32:33 AM     all      3.59      0.00      2.74      0.00      0.00     93.67
05:33:33 AM     all      4.69      0.00      1.60      0.00      0.00     93.71
05:34:33 AM     all      4.84      0.00      1.45      0.00      0.00     93.71
05:35:33 AM     all      5.28      0.00      1.03      0.00      0.00     93.68
05:36:33 AM     all      5.88      0.00      0.39      0.00      0.00     93.72
05:37:33 AM     all      5.87      0.00      0.40      0.00      0.00     93.72
05:38:33 AM     all      5.97      0.00      0.30      0.00      0.00     93.73
05:39:33 AM     all      6.14      0.00      0.13      0.00      0.00     93.73
05:40:33 AM     all      5.01      0.00      1.29      0.00      0.00     93.69
05:41:33 AM     all      4.86      0.00      1.45      0.00      0.00     93.70
05:42:33 AM     all      4.29      0.00      2.06      0.00      0.00     93.66
05:43:33 AM     all      4.98      0.00      1.30      0.00      0.00     93.72
05:44:33 AM     all      4.95      0.00      1.37      0.00      0.00     93.68
05:45:33 AM     all      5.33      0.00      0.95      0.00      0.00     93.72
05:46:33 AM     all      4.99      0.00      1.30      0.00      0.00     93.71
05:47:33 AM     all      5.36      0.00      0.91      0.00      0.00     93.73
