# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit
axle;59;1417495860;11831064;252693360;95.53;445588;44700036;211847600;77.63
axle;60;1417495920;9991952;254532472;96.22;445696;44706700;213955680;78.40
axle;60;1417495980;7831724;256692700;97.04;445804;45739396;214896536;78.74
axle;60;1417496040;6994140;257530284;97.36;445948;45800808;215607072;79.00
axle;60;1417496100;7552080;256972344;97.15;446064;46013728;214846776;78.72
axle;60;1417496160;5843160;258681264;97.79;446176;45660460;216894560;79.47
axle;60;1417496220;5081272;259443152;98.08;446244;44838204;218516260;80.07
axle;60;1417496280;4450252;260074172;98.32;446352;45410092;218537488;80.08
axle;60;1417496340;14174184;250350240;94.64;446488;44831504;209402532;76.73
axle;60;1417496400;9417556;255106868;96.44;446624;44884908;214102668;78.45
axle;60;1417496460;3429976;261094448;98.70;446728;44895620;220115260;80.65
axle;60;1417496520;920696;263603728;99.65;443068;44518628;222977700;81.70
axle;60;1417496580;857440;263666984;99.68;391972;42503968;225096160;82.48
axle;60;1417496640;9489312;255035112;96.41;392068;42590592;216406584;79.30
axle;60;1417496700;7999200;256525224;96.98;392168;42679324;217763804;79.79
axle;60;1417496760;12518260;252006164;95.27;392264;43428248;212503724;77.87
axle;60;1417496820;12954704;251569720;95.10;392344;42717500;212803664;77.98
axle;60;1417496880;12645312;251879112;95.22;392456;43392572;212481872;77.86
axle;60;1417496940;14258796;250265628;94.61;392576;42763132;211453568;77.48
axle;60;1417497000;14399992;250124432;94.56;392668;42771488;211304556;77.43
axle;60;1417497060;13177364;251347060;95.02;392776;43203240;212132988;77.73
axle;60;1417497120;10730000;253794424;95.94;392876;44443720;213268416;78.15
axle;60;1417497180;9742020;254782404;96.32;393004;44522508;214212892;78.49
axle;60;1417497240;6645780;257878644;97.49;393120;42908056;218914068;80.21
axle;60;1417497300;4242148;260282276;98.40;393204;43614648;220621440;80.84
axle;60;1417497360;1962032;262562392;99.26;393344;43450004;223105136;81.75
axle;60;1417497420;6209584;258314840;97.65;393440;43544096;218753528;80.16
axle;60;1417497480;7865288;256659136;97.03;393552;44181456;216447536;79.31
axle;60;1417497540;10977092;253547332;95.85;393600;44471300;213036256;78.06
axle;60;1417497600;11832132;252692292;95.53;393696;44516932;212146916;77.74
axle;60;1417497660;11031240;253493184;95.83;393760;44517916;212905588;78.01
axle;60;1417497720;12094024;252430400;95.43;393844;44543684;211812780;77.61
axle;60;1417497780;12828108;251696316;95.15;393972;44564304;211087864;77.35
axle;60;1417497840;9880092;254644332;96.26;394072;44568920;214018096;78.42
axle;60;1417497900;9412968;255111456;96.44;394208;44572300;214456928;78.58
axle;60;1417497960;9144008;255380416;96.54;394324;44576664;214743328;78.69
axle;60;1417498020;9363220;255161204;96.46;394440;44580496;214510472;78.60
axle;60;1417498080;14589964;249934460;94.48;394560;44613120;209295164;76.69
axle;60;1417498140;16491728;248032696;93.77;394680;44643400;207474044;76.02
